id,country_id,total_cases,today_cases,deaths,today_deaths,recovered,today_recovered,active,critical,cases_per_million,deaths_per_million,tests,tests_per_million,active_per_million,recovered_per_million,critical_per_million
182,182,841469,0,9646,0,0,0,831823,0,23475.0,269.0,45481735,1268848.0,23206.17,0.0,0.0
183,183,89053,0,1971,0,87024,0,58,0,5044.0,112.0,1146543,64946.0,3.29,4929.51,0.0
184,184,2615054,0,18057,0,2596608,0,389,0,302213.0,2087.0,13463733,1555958.0,44.96,300081.27,0.0
185,185,51220,0,172,0,51048,0,0,0,515157.0,1730.0,0,0.0,0.0,513427.07,0.0
186,186,7779,0,126,0,0,0,7653,0,937.0,15.0,259958,31296.0,921.33,0.0,0.0
187,187,3006155,0,2024,0,3004131,0,0,4,505785.0,341.0,24756666,4165302.0,0.0,505444.22,0.67
188,188,11051,0,92,0,10905,0,54,0,251353.0,2093.0,62056,1411454.0,1228.22,248032.57,0.0
189,189,1877605,0,21224,0,1856381,0,0,23,343872.0,3887.0,7448789,1364199.0,0.0,339984.5,4.21
190,190,1356546,0,7100,0,1349424,0,22,0,652803.0,3417.0,2847701,1370382.0,10.59,649375.32,0.0
191,191,25954,0,199,0,0,0,25755,0,35989.0,276.0,0,0.0,35713.34,0.0,0.0
192,192,27334,0,1361,0,13182,0,12791,0,1623.0,81.0,400466,23778.0,759.48,782.7,0.0
193,193,4076463,0,102595,0,3912506,0,61362,192,67095.0,1689.0,26795090,441027.0,1009.97,64396.89,3.16
194,194,18819,0,147,0,18115,0,557,1,1620.0,13.0,410280,35313.0,47.94,1559.15,0.09
195,195,13914811,0,121760,0,13762417,0,30634,231,297840.0,2606.0,471036328,10082298.0,655.71,294577.69,4.94
196,196,672754,0,16897,0,655852,0,5,0,31181.0,783.0,6486117,300619.0,0.23,30397.52,0.0
197,197,5507,0,6,0,0,0,5501,0,553746.0,603.0,78646,7908095.0,553142.28,0.0,0.0
198,198,63993,0,5046,0,58947,0,0,0,1391.0,110.0,562941,12240.0,0.0,1281.68,0.0
199,199,82588,0,1408,0,0,0,81180,0,138378.0,2359.0,242207,405822.0,136018.4,0.0,0.0
200,200,75191,0,1427,0,73116,0,648,0,63462.0,1204.0,1048704,885119.0,546.92,61710.8,0.0
201,201,2754129,0,27407,0,2726492,20,230,0,269511.0,2682.0,19500873,1908301.0,22.51,266806.9,0.0
202,202,4453053,0,14452,0,4438309,0,292,0,507549.0,1647.0,23833472,2716487.0,33.28,505868.77,0.0
203,203,57743,0,3165,0,54578,0,0,0,2982.0,163.0,146269,7553.0,0.0,2818.41,0.0
204,204,10241523,0,19005,0,10222518,0,0,0,428720.0,796.0,30742304,1286903.0,0.0,427924.62,0.0
205,205,17786,0,125,0,17264,0,397,0,1786.0,13.0,0,0.0,39.87,1733.77,0.0
206,206,43223,0,846,0,0,0,42377,0,683.0,13.0,0,0.0,669.48,0.0,0.0
207,207,4770149,0,34586,0,4692636,0,42927,0,68069.0,494.0,17273454,246488.0,612.56,66962.85,0.0
208,208,23460,0,138,0,23102,0,220,0,17131.0,101.0,278529,203391.0,160.65,16869.8,0.0
209,209,39572,0,290,0,39281,0,1,0,4559.0,33.0,815204,93908.0,0.12,4525.02,0.0
210,210,80,0,0,0,0,0,80,0,58055.0,0.0,0,0.0,58055.15,0.0,0.0
211,211,16950,0,13,0,15638,0,1299,0,157310.0,121.0,535009,4965327.0,12055.8,145133.6,0.0
212,212,191496,0,4390,0,187078,0,28,0,136143.0,3121.0,913289,649295.0,19.91,133001.56,0.0
213,213,1153361,0,29423,0,0,0,1123938,0,95741.0,2442.0,5013383,416164.0,93298.75,0.0,0.0
214,214,17232066,0,102174,0,0,0,17129892,0,201399.0,1194.0,162743369,1902052.0,200204.49,0.0,0.0
215,215,6752,0,40,0,6709,0,3,4,169900.0,1007.0,616788,15520193.0,75.49,168818.1,100.65
216,216,2943,0,1,0,0,0,2942,0,243909.0,83.0,0,0.0,243825.63,0.0,0.0
217,217,1067030,0,2349,0,0,0,1064681,0,105837.0,233.0,200732262,19910389.0,105604.41,0.0,0.0
218,218,24910387,0,232112,0,24678275,0,0,0,363666.0,3389.0,522526476,7628357.0,0.0,360277.8,0.0
219,219,111820082,0,1219487,0,109814428,0,786167,940,333985.0,3642.0,1186851502,3544901.0,2348.13,327994.92,2.81
220,220,172149,0,3632,0,100431,0,68086,0,3554.0,75.0,3012408,62198.0,1405.78,2073.61,0.0
221,221,5557995,0,112418,0,5445577,0,0,0,128681.0,2603.0,32603805,754855.0,0.0,126078.01,0.0
222,222,1041111,0,7664,0,1030944,0,2503,18,297799.0,2192.0,6114822,1749083.0,715.96,294891.1,5.15
223,223,253662,0,1637,0,241486,0,10539,23,7378.0,48.0,1377915,40077.0,306.53,7023.6,0.67
224,224,12019,0,14,0,11976,0,29,0,37346.0,44.0,24976,77606.0,90.11,37211.96,0.0
225,225,552695,0,5856,0,546537,0,302,31,18885.0,200.0,3359014,114771.0,10.32,18674.18,1.06
226,226,11625195,0,43206,0,10640971,0,941018,0,117481.0,437.0,85826548,867342.0,9509.7,107535.02,0.0
227,227,3550,0,8,0,438,0,3104,0,323256.0,728.0,20508,1867419.0,282644.33,39883.45,0.0
228,228,10,0,1,0,9,0,0,0,16.0,2.0,0,0.0,0.0,14.37,0.0
229,229,11945,0,2159,0,9124,0,662,0,383.0,69.0,329592,10579.0,21.25,292.86,0.0
230,230,349304,0,4069,0,341316,0,3919,0,17940.0,209.0,4112961,211244.0,201.28,17530.14,0.0
231,231,266359,0,5740,0,258888,0,1731,12,17373.0,374.0,2525756,164744.0,112.91,16886.1,0.78
